"GEOID","census_tract","borough","total_population"
"36081011400","Census Tract 114, Queens County, New York"," Queens County",1050
"36081011500","Census Tract 115, Queens County, New York"," Queens County",2356
"36081011600","Census Tract 116, Queens County, New York"," Queens County",2309
"36081011700","Census Tract 117, Queens County, New York"," Queens County",3706
"36081011800","Census Tract 118, Queens County, New York"," Queens County",2766
"36081011900","Census Tract 119, Queens County, New York"," Queens County",1674
"36081012000","Census Tract 120, Queens County, New York"," Queens County",2467
"36081012100","Census Tract 121, Queens County, New York"," Queens County",2247
"36081012200","Census Tract 122, Queens County, New York"," Queens County",3632
"36081012301","Census Tract 123.01, Queens County, New York"," Queens County",2670
"36081012400","Census Tract 124, Queens County, New York"," Queens County",3118
"36081012500","Census Tract 125, Queens County, New York"," Queens County",1829
"36081012601","Census Tract 126.01, Queens County, New York"," Queens County",2728
"36081012602","Census Tract 126.02, Queens County, New York"," Queens County",2666
"36081012800","Census Tract 128, Queens County, New York"," Queens County",2245
"36081013000","Census Tract 130, Queens County, New York"," Queens County",1645
"36081013200","Census Tract 132, Queens County, New York"," Queens County",2329
"36081013400","Census Tract 134, Queens County, New York"," Queens County",5920
"36081013500","Census Tract 135, Queens County, New York"," Queens County",1696
"36081013600","Census Tract 136, Queens County, New York"," Queens County",2063
"36081013700","Census Tract 137, Queens County, New York"," Queens County",1789
"36081013800","Census Tract 138, Queens County, New York"," Queens County",3600
"36081014000","Census Tract 140, Queens County, New York"," Queens County",3733
"36081014100","Census Tract 141, Queens County, New York"," Queens County",1729
"36081014201","Census Tract 142.01, Queens County, New York"," Queens County",4452
"36081014202","Census Tract 142.02, Queens County, New York"," Queens County",2749
"36081014300","Census Tract 143, Queens County, New York"," Queens County",4057
"36081014400","Census Tract 144, Queens County, New York"," Queens County",2033
"36081014500","Census Tract 145, Queens County, New York"," Queens County",2313
"36081014700","Census Tract 147, Queens County, New York"," Queens County",3367
"36081014800","Census Tract 148, Queens County, New York"," Queens County",2200
"36081014900","Census Tract 149, Queens County, New York"," Queens County",2430
"36081015000","Census Tract 150, Queens County, New York"," Queens County",2895
"36081015100","Census Tract 151, Queens County, New York"," Queens County",2717
"36081015200","Census Tract 152, Queens County, New York"," Queens County",2808
"36081015300","Census Tract 153, Queens County, New York"," Queens County",2159
"36081015400","Census Tract 154, Queens County, New York"," Queens County",2524
"36081015500","Census Tract 155, Queens County, New York"," Queens County",2336
"36081015600","Census Tract 156, Queens County, New York"," Queens County",3104
"36081015700","Census Tract 157, Queens County, New York"," Queens County",1457
"36081015801","Census Tract 158.01, Queens County, New York"," Queens County",3564
"36081015802","Census Tract 158.02, Queens County, New York"," Queens County",4679
"36081015900","Census Tract 159, Queens County, New York"," Queens County",3964
"36081016100","Census Tract 161, Queens County, New York"," Queens County",2606
"36081016300","Census Tract 163, Queens County, New York"," Queens County",3788
"36081016400","Census Tract 164, Queens County, New York"," Queens County",3691
"36081016600","Census Tract 166, Queens County, New York"," Queens County",3409
"36081016800","Census Tract 168, Queens County, New York"," Queens County",3413
"36081016900","Census Tract 169, Queens County, New York"," Queens County",5561
"36081017000","Census Tract 170, Queens County, New York"," Queens County",2339
"36081017100","Census Tract 171, Queens County, New York"," Queens County",0
"36081017200","Census Tract 172, Queens County, New York"," Queens County",2355
"36081017400","Census Tract 174, Queens County, New York"," Queens County",2867
"36081017600","Census Tract 176, Queens County, New York"," Queens County",2498
"36081017800","Census Tract 178, Queens County, New York"," Queens County",2242
"36081017900","Census Tract 179, Queens County, New York"," Queens County",994
"36081018000","Census Tract 180, Queens County, New York"," Queens County",1456
"36081018101","Census Tract 181.01, Queens County, New York"," Queens County",4293
"36081018102","Census Tract 181.02, Queens County, New York"," Queens County",3755
"36081018200","Census Tract 182, Queens County, New York"," Queens County",2416
"36081018300","Census Tract 183, Queens County, New York"," Queens County",6322
"36081018401","Census Tract 184.01, Queens County, New York"," Queens County",2272
"36081018402","Census Tract 184.02, Queens County, New York"," Queens County",2342
"36081018501","Census Tract 185.01, Queens County, New York"," Queens County",3685
"36081018502","Census Tract 185.02, Queens County, New York"," Queens County",3557
"36081018600","Census Tract 186, Queens County, New York"," Queens County",1908
"36081018700","Census Tract 187, Queens County, New York"," Queens County",3074
"36081018800","Census Tract 188, Queens County, New York"," Queens County",1476
"36081018900","Census Tract 189, Queens County, New York"," Queens County",3470
"36081019000","Census Tract 190, Queens County, New York"," Queens County",2291
"36081019200","Census Tract 192, Queens County, New York"," Queens County",2009
"36081019400","Census Tract 194, Queens County, New York"," Queens County",2508
"36081019600","Census Tract 196, Queens County, New York"," Queens County",2756
"36081019800","Census Tract 198, Queens County, New York"," Queens County",2981
"36081019900","Census Tract 199, Queens County, New York"," Queens County",1074
"36081020200","Census Tract 202, Queens County, New York"," Queens County",1693
"36081020400","Census Tract 204, Queens County, New York"," Queens County",2195
"36081020500","Census Tract 205, Queens County, New York"," Queens County",994
"36081020600","Census Tract 206, Queens County, New York"," Queens County",1855
"36081020800","Census Tract 208, Queens County, New York"," Queens County",2554
"36081021200","Census Tract 212, Queens County, New York"," Queens County",2362
"36081021400","Census Tract 214, Queens County, New York"," Queens County",6415
"36081021600","Census Tract 216, Queens County, New York"," Queens County",4373
"36081021900","Census Tract 219, Queens County, New York"," Queens County",4
"36081022001","Census Tract 220.01, Queens County, New York"," Queens County",5889
"36081022002","Census Tract 220.02, Queens County, New York"," Queens County",6421
"36081022900","Census Tract 229, Queens County, New York"," Queens County",0
"36081023000","Census Tract 230, Queens County, New York"," Queens County",2430
"36081023200","Census Tract 232, Queens County, New York"," Queens County",5619
"36081023500","Census Tract 235, Queens County, New York"," Queens County",8855
"36081023600","Census Tract 236, Queens County, New York"," Queens County",2707
"36081023800","Census Tract 238, Queens County, New York"," Queens County",4705
"36081024000","Census Tract 240, Queens County, New York"," Queens County",6087
"36081024300","Census Tract 243, Queens County, New York"," Queens County",6119
"36081024500","Census Tract 245, Queens County, New York"," Queens County",6158
"36081024600","Census Tract 246, Queens County, New York"," Queens County",0
"36081024700","Census Tract 247, Queens County, New York"," Queens County",1574
"36081024900","Census Tract 249, Queens County, New York"," Queens County",5099
"36081025100","Census Tract 251, Queens County, New York"," Queens County",5909
"36081025301","Census Tract 253.01, Queens County, New York"," Queens County",3967
"36081025302","Census Tract 253.02, Queens County, New York"," Queens County",2881
"36081025400","Census Tract 254, Queens County, New York"," Queens County",9094
"36081025500","Census Tract 255, Queens County, New York"," Queens County",1423
"36081025700","Census Tract 257, Queens County, New York"," Queens County",1327
"36081025800","Census Tract 258, Queens County, New York"," Queens County",2048
"36081025900","Census Tract 259, Queens County, New York"," Queens County",3353
"36081026000","Census Tract 260, Queens County, New York"," Queens County",2818
"36081026100","Census Tract 261, Queens County, New York"," Queens County",7098
"36081026200","Census Tract 262, Queens County, New York"," Queens County",1208
"36081026300","Census Tract 263, Queens County, New York"," Queens County",7124
"36081026400","Census Tract 264, Queens County, New York"," Queens County",2365
"36081026500","Census Tract 265, Queens County, New York"," Queens County",4127
"36081026600","Census Tract 266, Queens County, New York"," Queens County",1933
"36081026700","Census Tract 267, Queens County, New York"," Queens County",6563
"36081026901","Census Tract 269.01, Queens County, New York"," Queens County",5089
"36081026902","Census Tract 269.02, Queens County, New York"," Queens County",4557
"36081027000","Census Tract 270, Queens County, New York"," Queens County",2080
"36081027100","Census Tract 271, Queens County, New York"," Queens County",8512
"36081027200","Census Tract 272, Queens County, New York"," Queens County",2432
"36081027300","Census Tract 273, Queens County, New York"," Queens County",8196
"36081027400","Census Tract 274, Queens County, New York"," Queens County",1781
"36081027500","Census Tract 275, Queens County, New York"," Queens County",7489
"36081027600","Census Tract 276, Queens County, New York"," Queens County",1262
"36081027700","Census Tract 277, Queens County, New York"," Queens County",7638
"36081027800","Census Tract 278, Queens County, New York"," Queens County",2437
"36081027900","Census Tract 279, Queens County, New York"," Queens County",6233
"36081028000","Census Tract 280, Queens County, New York"," Queens County",1775
"36081028100","Census Tract 281, Queens County, New York"," Queens County",4435
"36081028200","Census Tract 282, Queens County, New York"," Queens County",1703
"36081028300","Census Tract 283, Queens County, New York"," Queens County",7318
"36081028400","Census Tract 284, Queens County, New York"," Queens County",4367
"36081028500","Census Tract 285, Queens County, New York"," Queens County",5120
"36081028700","Census Tract 287, Queens County, New York"," Queens County",6423
"36081028800","Census Tract 288, Queens County, New York"," Queens County",4693
"36081028900","Census Tract 289, Queens County, New York"," Queens County",5574
"36081029100","Census Tract 291, Queens County, New York"," Queens County",6605
"36081029300","Census Tract 293, Queens County, New York"," Queens County",1217
"36081029400","Census Tract 294, Queens County, New York"," Queens County",6827
"36081029500","Census Tract 295, Queens County, New York"," Queens County",3722
"36081029700","Census Tract 297, Queens County, New York"," Queens County",2128
"36081029900","Census Tract 299, Queens County, New York"," Queens County",0
"36081030600","Census Tract 306, Queens County, New York"," Queens County",4058
"36081030902","Census Tract 309.02, Queens County, New York"," Queens County",7894
"36081030903","Census Tract 309.03, Queens County, New York"," Queens County",6441
"36081030904","Census Tract 309.04, Queens County, New York"," Queens County",3847
"36081031700","Census Tract 317, Queens County, New York"," Queens County",6451
"36081032000","Census Tract 320, Queens County, New York"," Queens County",5330
"36081032700","Census Tract 327, Queens County, New York"," Queens County",4112
"36081032800","Census Tract 328, Queens County, New York"," Queens County",2376
"36081032900","Census Tract 329, Queens County, New York"," Queens County",4071
"36081033000","Census Tract 330, Queens County, New York"," Queens County",7115
"36081033100","Census Tract 331, Queens County, New York"," Queens County",0
"36081033401","Census Tract 334.01, Queens County, New York"," Queens County",3516
"36081033402","Census Tract 334.02, Queens County, New York"," Queens County",13061
"36081033700","Census Tract 337, Queens County, New York"," Queens County",3555
"36081033900","Census Tract 339, Queens County, New York"," Queens County",3374
"36081034700","Census Tract 347, Queens County, New York"," Queens County",3394
"36081035100","Census Tract 351, Queens County, New York"," Queens County",4215
"36081035200","Census Tract 352, Queens County, New York"," Queens County",3044
"36081035300","Census Tract 353, Queens County, New York"," Queens County",2451
"36081035700","Census Tract 357, Queens County, New York"," Queens County",4204
"36081035800","Census Tract 358, Queens County, New York"," Queens County",4094
"36081036100","Census Tract 361, Queens County, New York"," Queens County",2956
"36081036300","Census Tract 363, Queens County, New York"," Queens County",2105
"36081036500","Census Tract 365, Queens County, New York"," Queens County",3822
"36081036600","Census Tract 366, Queens County, New York"," Queens County",3041
"36081036700","Census Tract 367, Queens County, New York"," Queens County",2644
"36081036800","Census Tract 368, Queens County, New York"," Queens County",2446
"36081037100","Census Tract 371, Queens County, New York"," Queens County",1789
"36081037300","Census Tract 373, Queens County, New York"," Queens County",2500
"36081037500","Census Tract 375, Queens County, New York"," Queens County",3946
"36081037600","Census Tract 376, Queens County, New York"," Queens County",5979
"36081037700","Census Tract 377, Queens County, New York"," Queens County",3717
"36081037900","Census Tract 379, Queens County, New York"," Queens County",7287
"36081038100","Census Tract 381, Queens County, New York"," Queens County",7798
"36081038301","Census Tract 383.01, Queens County, New York"," Queens County",0
"36081038302","Census Tract 383.02, Queens County, New York"," Queens County",0
"36081038400","Census Tract 384, Queens County, New York"," Queens County",2420
"36081039400","Census Tract 394, Queens County, New York"," Queens County",3010
"36081039800","Census Tract 398, Queens County, New York"," Queens County",1731
"36081039900","Census Tract 399, Queens County, New York"," Queens County",4181
"36081040000","Census Tract 400, Queens County, New York"," Queens County",1476
"36081040100","Census Tract 401, Queens County, New York"," Queens County",8193
"36081040200","Census Tract 402, Queens County, New York"," Queens County",1617
"36081040300","Census Tract 403, Queens County, New York"," Queens County",7310
"36081040400","Census Tract 404, Queens County, New York"," Queens County",4316
"36081040500","Census Tract 405, Queens County, New York"," Queens County",3339
"36081040700","Census Tract 407, Queens County, New York"," Queens County",7632
"36081040900","Census Tract 409, Queens County, New York"," Queens County",6017
"36081041100","Census Tract 411, Queens County, New York"," Queens County",3873
"36081041300","Census Tract 413, Queens County, New York"," Queens County",4822
"36081041400","Census Tract 414, Queens County, New York"," Queens County",3677
"36081041500","Census Tract 415, Queens County, New York"," Queens County",3687
"36081042400","Census Tract 424, Queens County, New York"," Queens County",2612
"36081042600","Census Tract 426, Queens County, New York"," Queens County",512
"36081042700","Census Tract 427, Queens County, New York"," Queens County",5242
"36081043200","Census Tract 432, Queens County, New York"," Queens County",1507
"36081043400","Census Tract 434, Queens County, New York"," Queens County",1708
"36081043701","Census Tract 437.01, Queens County, New York"," Queens County",3780
"36081043702","Census Tract 437.02, Queens County, New York"," Queens County",6213
"36081043900","Census Tract 439, Queens County, New York"," Queens County",4537
"36081044000","Census Tract 440, Queens County, New York"," Queens County",3821
"36081044301","Census Tract 443.01, Queens County, New York"," Queens County",3535
"36081044302","Census Tract 443.02, Queens County, New York"," Queens County",4748
"36081044400","Census Tract 444, Queens County, New York"," Queens County",3024
"36081044601","Census Tract 446.01, Queens County, New York"," Queens County",3119
"36081044602","Census Tract 446.02, Queens County, New York"," Queens County",5082
"36081044800","Census Tract 448, Queens County, New York"," Queens County",2677
"36081045000","Census Tract 450, Queens County, New York"," Queens County",1902
"36081045200","Census Tract 452, Queens County, New York"," Queens County",1009
"36081045400","Census Tract 454, Queens County, New York"," Queens County",4298
"36081045500","Census Tract 455, Queens County, New York"," Queens County",13003
"36081045600","Census Tract 456, Queens County, New York"," Queens County",1400
"36081045700","Census Tract 457, Queens County, New York"," Queens County",2992
"36081045800","Census Tract 458, Queens County, New York"," Queens County",2098
"36081045900","Census Tract 459, Queens County, New York"," Queens County",3923
"36081046000","Census Tract 460, Queens County, New York"," Queens County",5817
"36081046100","Census Tract 461, Queens County, New York"," Queens County",2988
"36081046200","Census Tract 462, Queens County, New York"," Queens County",8760
"36081046300","Census Tract 463, Queens County, New York"," Queens County",3985
"36081046400","Census Tract 464, Queens County, New York"," Queens County",1734
"36081046500","Census Tract 465, Queens County, New York"," Queens County",3680
"36081046600","Census Tract 466, Queens County, New York"," Queens County",3521
"36081046700","Census Tract 467, Queens County, New York"," Queens County",6815
"36081046800","Census Tract 468, Queens County, New York"," Queens County",3171
"36081046900","Census Tract 469, Queens County, New York"," Queens County",8205
"36081047000","Census Tract 470, Queens County, New York"," Queens County",3322
"36081047100","Census Tract 471, Queens County, New York"," Queens County",4218
"36081047200","Census Tract 472, Queens County, New York"," Queens County",4027
"36081047300","Census Tract 473, Queens County, New York"," Queens County",3710
"36081047500","Census Tract 475, Queens County, New York"," Queens County",4570
"36081047600","Census Tract 476, Queens County, New York"," Queens County",1459
"36081047800","Census Tract 478, Queens County, New York"," Queens County",5500
"36081047900","Census Tract 479, Queens County, New York"," Queens County",5357
"36081048000","Census Tract 480, Queens County, New York"," Queens County",2932
"36081048100","Census Tract 481, Queens County, New York"," Queens County",6527
"36081048200","Census Tract 482, Queens County, New York"," Queens County",1556
"36081048300","Census Tract 483, Queens County, New York"," Queens County",4212
"36081048400","Census Tract 484, Queens County, New York"," Queens County",4977
"36081048500","Census Tract 485, Queens County, New York"," Queens County",4639
"36081048900","Census Tract 489, Queens County, New York"," Queens County",1651
"36081049200","Census Tract 492, Queens County, New York"," Queens County",4387
"36081049301","Census Tract 493.01, Queens County, New York"," Queens County",1933
"36081049302","Census Tract 493.02, Queens County, New York"," Queens County",2376
"36081049500","Census Tract 495, Queens County, New York"," Queens County",1283
"36081049600","Census Tract 496, Queens County, New York"," Queens County",3110
"36081049700","Census Tract 497, Queens County, New York"," Queens County",2675
"36081049900","Census Tract 499, Queens County, New York"," Queens County",4980
"36081050000","Census Tract 500, Queens County, New York"," Queens County",4444
"36081050201","Census Tract 502.01, Queens County, New York"," Queens County",1427
"36081050202","Census Tract 502.02, Queens County, New York"," Queens County",1357
"36081050400","Census Tract 504, Queens County, New York"," Queens County",2018
"36081050500","Census Tract 505, Queens County, New York"," Queens County",1456
"36081050600","Census Tract 506, Queens County, New York"," Queens County",1686
"36081050700","Census Tract 507, Queens County, New York"," Queens County",3580
"36081050800","Census Tract 508, Queens County, New York"," Queens County",2072
"36081051000","Census Tract 510, Queens County, New York"," Queens County",2096
"36081051100","Census Tract 511, Queens County, New York"," Queens County",1961
"36081051200","Census Tract 512, Queens County, New York"," Queens County",2925
"36081051300","Census Tract 513, Queens County, New York"," Queens County",2023
"36081051500","Census Tract 515, Queens County, New York"," Queens County",2693
"36081051600","Census Tract 516, Queens County, New York"," Queens County",1866
"36081051700","Census Tract 517, Queens County, New York"," Queens County",1777
"36081051800","Census Tract 518, Queens County, New York"," Queens County",2441
"36081052000","Census Tract 520, Queens County, New York"," Queens County",1640
"36081052100","Census Tract 521, Queens County, New York"," Queens County",1744
"36081052200","Census Tract 522, Queens County, New York"," Queens County",1854
"36081052400","Census Tract 524, Queens County, New York"," Queens County",1626
"36081052500","Census Tract 525, Queens County, New York"," Queens County",1840
"36081052600","Census Tract 526, Queens County, New York"," Queens County",1980
"36081052800","Census Tract 528, Queens County, New York"," Queens County",1509
"36081053000","Census Tract 530, Queens County, New York"," Queens County",2311
"36081053100","Census Tract 531, Queens County, New York"," Queens County",2785
"36081053200","Census Tract 532, Queens County, New York"," Queens County",1699
"36081053401","Census Tract 534.01, Queens County, New York"," Queens County",2016
"36081053500","Census Tract 535, Queens County, New York"," Queens County",1328
"36081053601","Census Tract 536.01, Queens County, New York"," Queens County",1759
"36081053800","Census Tract 538, Queens County, New York"," Queens County",1720
"36081053900","Census Tract 539, Queens County, New York"," Queens County",4338
"36081054000","Census Tract 540, Queens County, New York"," Queens County",4354
"36081054200","Census Tract 542, Queens County, New York"," Queens County",5482
"36081054500","Census Tract 545, Queens County, New York"," Queens County",3813
"36081054700","Census Tract 547, Queens County, New York"," Queens County",5382
"36081054800","Census Tract 548, Queens County, New York"," Queens County",2316
"36081054900","Census Tract 549, Queens County, New York"," Queens County",5503
"36081055100","Census Tract 551, Queens County, New York"," Queens County",4932
"36081055200","Census Tract 552, Queens County, New York"," Queens County",3006
"36081055300","Census Tract 553, Queens County, New York"," Queens County",2436
"36081055400","Census Tract 554, Queens County, New York"," Queens County",2344
"36081055500","Census Tract 555, Queens County, New York"," Queens County",2348
"36081055600","Census Tract 556, Queens County, New York"," Queens County",2453
"36081055700","Census Tract 557, Queens County, New York"," Queens County",3781
"36081055800","Census Tract 558, Queens County, New York"," Queens County",1763
"36081055900","Census Tract 559, Queens County, New York"," Queens County",1401
"36081056000","Census Tract 560, Queens County, New York"," Queens County",1651
"36081056100","Census Tract 561, Queens County, New York"," Queens County",120
"36081056200","Census Tract 562, Queens County, New York"," Queens County",1655
"36081056400","Census Tract 564, Queens County, New York"," Queens County",1582
"36081056500","Census Tract 565, Queens County, New York"," Queens County",1380
"36081056600","Census Tract 566, Queens County, New York"," Queens County",1703
"36081056700","Census Tract 567, Queens County, New York"," Queens County",4231
"36081056800","Census Tract 568, Queens County, New York"," Queens County",4439
"36081057700","Census Tract 577, Queens County, New York"," Queens County",3797
"36081057900","Census Tract 579, Queens County, New York"," Queens County",1610
"36081058000","Census Tract 580, Queens County, New York"," Queens County",3565
"36081058100","Census Tract 581, Queens County, New York"," Queens County",2875
"36081058200","Census Tract 582, Queens County, New York"," Queens County",5054
"36081058300","Census Tract 583, Queens County, New York"," Queens County",3327
"36081058500","Census Tract 585, Queens County, New York"," Queens County",4476
"36081058700","Census Tract 587, Queens County, New York"," Queens County",3421
"36081058900","Census Tract 589, Queens County, New York"," Queens County",4165
"36081059000","Census Tract 590, Queens County, New York"," Queens County",1428
"36081059100","Census Tract 591, Queens County, New York"," Queens County",5210
"36081059200","Census Tract 592, Queens County, New York"," Queens County",1128
"36081059300","Census Tract 593, Queens County, New York"," Queens County",4192
"36081059400","Census Tract 594, Queens County, New York"," Queens County",1553
"36081059500","Census Tract 595, Queens County, New York"," Queens County",4435
"36081059600","Census Tract 596, Queens County, New York"," Queens County",1465
"36081059800","Census Tract 598, Queens County, New York"," Queens County",1727
"36081059900","Census Tract 599, Queens County, New York"," Queens County",1376
"36081060000","Census Tract 600, Queens County, New York"," Queens County",1086
"36081060100","Census Tract 601, Queens County, New York"," Queens County",1955
"36081060300","Census Tract 603, Queens County, New York"," Queens County",2006
"36081060600","Census Tract 606, Queens County, New York"," Queens County",1393
"36081060701","Census Tract 607.01, Queens County, New York"," Queens County",16
"36081060800","Census Tract 608, Queens County, New York"," Queens County",1662
"36081061000","Census Tract 610, Queens County, New York"," Queens County",1556
"36081061200","Census Tract 612, Queens County, New York"," Queens County",1528
"36081061301","Census Tract 613.01, Queens County, New York"," Queens County",6281
"36081061302","Census Tract 613.02, Queens County, New York"," Queens County",15
"36081061400","Census Tract 614, Queens County, New York"," Queens County",1321
"36081061601","Census Tract 616.01, Queens County, New York"," Queens County",2384
"36081061602","Census Tract 616.02, Queens County, New York"," Queens County",1275
"36081061800","Census Tract 618, Queens County, New York"," Queens County",1876
"36081061900","Census Tract 619, Queens County, New York"," Queens County",2738
"36081062000","Census Tract 620, Queens County, New York"," Queens County",1518
"36081062100","Census Tract 621, Queens County, New York"," Queens County",2589
"36081062200","Census Tract 622, Queens County, New York"," Queens County",1653
"36081062300","Census Tract 623, Queens County, New York"," Queens County",2049
"36081062400","Census Tract 624, Queens County, New York"," Queens County",0
"36081062500","Census Tract 625, Queens County, New York"," Queens County",2586
"36081062600","Census Tract 626, Queens County, New York"," Queens County",3096
"36081062700","Census Tract 627, Queens County, New York"," Queens County",2917
"36081062900","Census Tract 629, Queens County, New York"," Queens County",3086
"36081063000","Census Tract 630, Queens County, New York"," Queens County",1865
"36081063200","Census Tract 632, Queens County, New York"," Queens County",2459
"36081063301","Census Tract 633.01, Queens County, New York"," Queens County",1450
"36081063302","Census Tract 633.02, Queens County, New York"," Queens County",1490
"36081063500","Census Tract 635, Queens County, New York"," Queens County",2636
"36081063700","Census Tract 637, Queens County, New York"," Queens County",3199
"36081063800","Census Tract 638, Queens County, New York"," Queens County",4113
"36081063900","Census Tract 639, Queens County, New York"," Queens County",2551
"36081064101","Census Tract 641.01, Queens County, New York"," Queens County",2038
"36081064102","Census Tract 641.02, Queens County, New York"," Queens County",154
"36081064500","Census Tract 645, Queens County, New York"," Queens County",1948
"36081064600","Census Tract 646, Queens County, New York"," Queens County",3121
"36081065000","Census Tract 650, Queens County, New York"," Queens County",3070
"36081065400","Census Tract 654, Queens County, New York"," Queens County",3128
"36081065501","Census Tract 655.01, Queens County, New York"," Queens County",0
"36081065600","Census Tract 656, Queens County, New York"," Queens County",5230
"36081065702","Census Tract 657.02, Queens County, New York"," Queens County",1761
"36081065703","Census Tract 657.03, Queens County, New York"," Queens County",2783
"36081065900","Census Tract 659, Queens County, New York"," Queens County",1765
"36081066000","Census Tract 660, Queens County, New York"," Queens County",3674
"36081066100","Census Tract 661, Queens County, New York"," Queens County",1469
"36081066300","Census Tract 663, Queens County, New York"," Queens County",2463
"36081066400","Census Tract 664, Queens County, New York"," Queens County",10018
"36081066501","Census Tract 665.01, Queens County, New York"," Queens County",3400
"36081066701","Census Tract 667.01, Queens County, New York"," Queens County",2280
"36081066900","Census Tract 669, Queens County, New York"," Queens County",1602
"36081067100","Census Tract 671, Queens County, New York"," Queens County",2129
"36081067700","Census Tract 677, Queens County, New York"," Queens County",1826
"36081067900","Census Tract 679, Queens County, New York"," Queens County",3772
"36081068000","Census Tract 680, Queens County, New York"," Queens County",5064
"36081068200","Census Tract 682, Queens County, New York"," Queens County",1278
"36081068300","Census Tract 683, Queens County, New York"," Queens County",4499
"36081068700","Census Tract 687, Queens County, New York"," Queens County",4703
"36081069000","Census Tract 690, Queens County, New York"," Queens County",3460
"36081069300","Census Tract 693, Queens County, New York"," Queens County",2864
"36081069400","Census Tract 694, Queens County, New York"," Queens County",3687
"36081069500","Census Tract 695, Queens County, New York"," Queens County",1773
"36081069701","Census Tract 697.01, Queens County, New York"," Queens County",3990
"36081069702","Census Tract 697.02, Queens County, New York"," Queens County",3548
"36081070300","Census Tract 703, Queens County, New York"," Queens County",2007
"36081070700","Census Tract 707, Queens County, New York"," Queens County",2262
"36081070900","Census Tract 709, Queens County, New York"," Queens County",2555
"36081071100","Census Tract 711, Queens County, New York"," Queens County",5948
"36081071303","Census Tract 713.03, Queens County, New York"," Queens County",5318
"36081071304","Census Tract 713.04, Queens County, New York"," Queens County",6191
"36081071305","Census Tract 713.05, Queens County, New York"," Queens County",4841
"36081071306","Census Tract 713.06, Queens County, New York"," Queens County",6256
"36081071600","Census Tract 716, Queens County, New York"," Queens County",0
"36081071701","Census Tract 717.01, Queens County, New York"," Queens County",5571
"36081071702","Census Tract 717.02, Queens County, New York"," Queens County",3865
"36081071900","Census Tract 719, Queens County, New York"," Queens County",2587
"36081072100","Census Tract 721, Queens County, New York"," Queens County",4751
"36081072300","Census Tract 723, Queens County, New York"," Queens County",1965
"36081072900","Census Tract 729, Queens County, New York"," Queens County",1147
"36081073100","Census Tract 731, Queens County, New York"," Queens County",1501
"36081073700","Census Tract 737, Queens County, New York"," Queens County",1748
"36081073900","Census Tract 739, Queens County, New York"," Queens County",5442
"36081074100","Census Tract 741, Queens County, New York"," Queens County",3021
"36081074300","Census Tract 743, Queens County, New York"," Queens County",4654
"36081074500","Census Tract 745, Queens County, New York"," Queens County",3836
"36081074700","Census Tract 747, Queens County, New York"," Queens County",3433
"36081074900","Census Tract 749, Queens County, New York"," Queens County",1488
"36081075701","Census Tract 757.01, Queens County, New York"," Queens County",5053
"36081075702","Census Tract 757.02, Queens County, New York"," Queens County",4565
"36081076901","Census Tract 769.01, Queens County, New York"," Queens County",4172
"36081076902","Census Tract 769.02, Queens County, New York"," Queens County",1486
"36081077300","Census Tract 773, Queens County, New York"," Queens County",2189
"36081077500","Census Tract 775, Queens County, New York"," Queens County",2014
"36081077902","Census Tract 779.02, Queens County, New York"," Queens County",5382
"36081077903","Census Tract 779.03, Queens County, New York"," Queens County",3130
"36081077904","Census Tract 779.04, Queens County, New York"," Queens County",6812
"36081077905","Census Tract 779.05, Queens County, New York"," Queens County",2673
"36081077906","Census Tract 779.06, Queens County, New York"," Queens County",3241
"36081077907","Census Tract 779.07, Queens County, New York"," Queens County",3186
"36081077908","Census Tract 779.08, Queens County, New York"," Queens County",4364
"36081078800","Census Tract 788, Queens County, New York"," Queens County",1575
"36081079000","Census Tract 790, Queens County, New York"," Queens County",2508
"36081079200","Census Tract 792, Queens County, New York"," Queens County",2599
"36081079300","Census Tract 793, Queens County, New York"," Queens County",0
"36081079701","Census Tract 797.01, Queens County, New York"," Queens County",7057
"36081079702","Census Tract 797.02, Queens County, New York"," Queens County",4914
"36081079900","Census Tract 799, Queens County, New York"," Queens County",3405
"36081080301","Census Tract 803.01, Queens County, New York"," Queens County",4855
"36081080302","Census Tract 803.02, Queens County, New York"," Queens County",3538
"36081080900","Census Tract 809, Queens County, New York"," Queens County",7181
"36081081400","Census Tract 814, Queens County, New York"," Queens County",3978
"36081081800","Census Tract 818, Queens County, New York"," Queens County",4381
"36081083700","Census Tract 837, Queens County, New York"," Queens County",5523
"36081083800","Census Tract 838, Queens County, New York"," Queens County",6247
"36081084000","Census Tract 840, Queens County, New York"," Queens County",6455
"36081084500","Census Tract 845, Queens County, New York"," Queens County",4484
"36081084601","Census Tract 846.01, Queens County, New York"," Queens County",2671
"36081084602","Census Tract 846.02, Queens County, New York"," Queens County",1256
"36081084900","Census Tract 849, Queens County, New York"," Queens County",7392
"36081085300","Census Tract 853, Queens County, New York"," Queens County",4526
"36081085500","Census Tract 855, Queens County, New York"," Queens County",6375
"36081085700","Census Tract 857, Queens County, New York"," Queens County",5753
"36081085900","Census Tract 859, Queens County, New York"," Queens County",5267
"36081086100","Census Tract 861, Queens County, New York"," Queens County",2178
"36081086300","Census Tract 863, Queens County, New York"," Queens County",6845
"36081086400","Census Tract 864, Queens County, New York"," Queens County",2887
"36081086500","Census Tract 865, Queens County, New York"," Queens County",4381
