"GEOID","census_tract","borough","total_population"
"36005016100","Census Tract 161, Bronx County, New York"," Bronx County",4140
"36005016200","Census Tract 162, Bronx County, New York"," Bronx County",1969
"36005016300","Census Tract 163, Bronx County, New York"," Bronx County",0
"36005016400","Census Tract 164, Bronx County, New York"," Bronx County",885
"36005016500","Census Tract 165, Bronx County, New York"," Bronx County",1189
"36005016600","Census Tract 166, Bronx County, New York"," Bronx County",2252
"36005016700","Census Tract 167, Bronx County, New York"," Bronx County",2733
"36005016900","Census Tract 169, Bronx County, New York"," Bronx County",1338
"36005017100","Census Tract 171, Bronx County, New York"," Bronx County",0
"36005017300","Census Tract 173, Bronx County, New York"," Bronx County",6301
"36005017500","Census Tract 175, Bronx County, New York"," Bronx County",7004
"36005017701","Census Tract 177.01, Bronx County, New York"," Bronx County",4946
"36005017702","Census Tract 177.02, Bronx County, New York"," Bronx County",5388
"36005017901","Census Tract 179.01, Bronx County, New York"," Bronx County",4661
"36005017902","Census Tract 179.02, Bronx County, New York"," Bronx County",3600
"36005018101","Census Tract 181.01, Bronx County, New York"," Bronx County",2921
"36005018102","Census Tract 181.02, Bronx County, New York"," Bronx County",5626
"36005018301","Census Tract 183.01, Bronx County, New York"," Bronx County",4202
"36005018302","Census Tract 183.02, Bronx County, New York"," Bronx County",4078
"36005018400","Census Tract 184, Bronx County, New York"," Bronx County",3676
"36005018500","Census Tract 185, Bronx County, New York"," Bronx County",6885
"36005018900","Census Tract 189, Bronx County, New York"," Bronx County",8304
"36005019300","Census Tract 193, Bronx County, New York"," Bronx County",5737
"36005019400","Census Tract 194, Bronx County, New York"," Bronx County",2231
"36005019500","Census Tract 195, Bronx County, New York"," Bronx County",7622
"36005019700","Census Tract 197, Bronx County, New York"," Bronx County",7104
"36005019900","Census Tract 199, Bronx County, New York"," Bronx County",8015
"36005020000","Census Tract 200, Bronx County, New York"," Bronx County",4722
"36005020100","Census Tract 201, Bronx County, New York"," Bronx County",4340
"36005020200","Census Tract 202, Bronx County, New York"," Bronx County",2232
"36005020400","Census Tract 204, Bronx County, New York"," Bronx County",3131
"36005020501","Census Tract 205.01, Bronx County, New York"," Bronx County",7030
"36005020502","Census Tract 205.02, Bronx County, New York"," Bronx County",2123
"36005020601","Census Tract 206.01, Bronx County, New York"," Bronx County",2724
"36005020900","Census Tract 209, Bronx County, New York"," Bronx County",4351
"36005021001","Census Tract 210.01, Bronx County, New York"," Bronx County",9254
"36005021002","Census Tract 210.02, Bronx County, New York"," Bronx County",6416
"36005021100","Census Tract 211, Bronx County, New York"," Bronx County",5506
"36005021200","Census Tract 212, Bronx County, New York"," Bronx County",5257
"36005021301","Census Tract 213.01, Bronx County, New York"," Bronx County",1194
"36005021302","Census Tract 213.02, Bronx County, New York"," Bronx County",6061
"36005021501","Census Tract 215.01, Bronx County, New York"," Bronx County",4726
"36005021502","Census Tract 215.02, Bronx County, New York"," Bronx County",6013
"36005021601","Census Tract 216.01, Bronx County, New York"," Bronx County",4137
"36005021602","Census Tract 216.02, Bronx County, New York"," Bronx County",6243
"36005021700","Census Tract 217, Bronx County, New York"," Bronx County",5000
"36005021800","Census Tract 218, Bronx County, New York"," Bronx County",6882
"36005021900","Census Tract 219, Bronx County, New York"," Bronx County",1277
"36005022000","Census Tract 220, Bronx County, New York"," Bronx County",2176
"36005022101","Census Tract 221.01, Bronx County, New York"," Bronx County",3884
"36005022102","Census Tract 221.02, Bronx County, New York"," Bronx County",5010
"36005022200","Census Tract 222, Bronx County, New York"," Bronx County",3414
"36005022300","Census Tract 223, Bronx County, New York"," Bronx County",5108
"36005022401","Census Tract 224.01, Bronx County, New York"," Bronx County",2652
"36005022403","Census Tract 224.03, Bronx County, New York"," Bronx County",3502
"36005022404","Census Tract 224.04, Bronx County, New York"," Bronx County",4187
"36005022500","Census Tract 225, Bronx County, New York"," Bronx County",8066
"36005022701","Census Tract 227.01, Bronx County, New York"," Bronx County",5917
"36005022702","Census Tract 227.02, Bronx County, New York"," Bronx County",1485
"36005022703","Census Tract 227.03, Bronx County, New York"," Bronx County",1871
