"GEOID","census_tract","borough","total_population","never_married","now_married","divorced"
36005008600,"Census Tract 86, Bronx County, New York"," Bronx County",3874,0.592370744010088,0.295397225725095,0.0772383354350567
36005008700,"Census Tract 87, Bronx County, New York"," Bronx County",6002,0.581885856079404,0.306658395368073,0.0622415219189413
36005008900,"Census Tract 89, Bronx County, New York"," Bronx County",3438,0.619856549641374,0.21593053982635,0.11513778784447
36005009000,"Census Tract 90, Bronx County, New York"," Bronx County",3476,0.581540596807772,0.282095766828591,0.0981956974323386
36005009200,"Census Tract 92, Bronx County, New York"," Bronx County",5622,0.459160649819495,0.421028880866426,0.072427797833935
36005009300,"Census Tract 93, Bronx County, New York"," Bronx County",6517,0.579814025571484,0.296590468810539,0.103641999225107
36005009600,"Census Tract 96, Bronx County, New York"," Bronx County",2562,0.47147001934236,0.425531914893617,0.0594777562862669
36005009800,"Census Tract 98, Bronx County, New York"," Bronx County",5041,0.490339302544769,0.357917059377945,0.0968426013195099
36005011000,"Census Tract 110, Bronx County, New York"," Bronx County",153,0.269503546099291,0.730496453900709,0
36005011502,"Census Tract 115.02, Bronx County, New York"," Bronx County",4566,0.549634591961023,0.332825822168088,0.0672959805115712
36005011700,"Census Tract 117, Bronx County, New York"," Bronx County",1603,0.641673243883189,0.239147592738753,0.079715864246251
36005011800,"Census Tract 118, Bronx County, New York"," Bronx County",5364,0.534948542024014,0.360634648370497,0.0450257289879931
36005011900,"Census Tract 119, Bronx County, New York"," Bronx County",5603,0.618776319048799,0.252662868466683,0.095120138716869
36005012101,"Census Tract 121.01, Bronx County, New York"," Bronx County",3057,0.550371593724195,0.360445912469034,0.0511973575557391
36005012102,"Census Tract 121.02, Bronx County, New York"," Bronx County",1835,0.696175637393768,0.176345609065156,0.0757790368271955
36005012300,"Census Tract 123, Bronx County, New York"," Bronx County",4379,0.555624418964983,0.303377750232414,0.0954446854663774
36005012500,"Census Tract 125, Bronx County, New York"," Bronx County",4272,0.54404309252218,0.334917617237009,0.085234474017744
36005012701,"Census Tract 127.01, Bronx County, New York"," Bronx County",1992,0.535668789808917,0.314649681528662,0.126114649681529
36005012901,"Census Tract 129.01, Bronx County, New York"," Bronx County",4017,0.623047552933009,0.236723359944464,0.0815688996876085
36005013000,"Census Tract 130, Bronx County, New York"," Bronx County",1364,0.401453957996769,0.438610662358643,0.0581583198707593
36005013100,"Census Tract 131, Bronx County, New York"," Bronx County",4685,0.475992886781268,0.353289863663308,0.139596917605216
36005013200,"Census Tract 132, Bronx County, New York"," Bronx County",7426,0.348571428571429,0.47134693877551,0.0855510204081633
36005013300,"Census Tract 133, Bronx County, New York"," Bronx County",7284,0.535648070116299,0.347041968649924,0.0648912860273049
36005013500,"Census Tract 135, Bronx County, New York"," Bronx County",3908,0.52804198097737,0.341751393899639,0.0760905214824533
36005013800,"Census Tract 138, Bronx County, New York"," Bronx County",2989,0.319649262654444,0.452371462734157,0.142287764049422
36005014100,"Census Tract 141, Bronx County, New York"," Bronx County",5355,0.512028361610534,0.328437579133958,0.116738414788554
36005014300,"Census Tract 143, Bronx County, New York"," Bronx County",968,0.489683631361761,0.378266850068776,0.111416781292985
36005014400,"Census Tract 144, Bronx County, New York"," Bronx County",6049,0.60715050310426,0.249839434810533,0.0809248554913295
36005014500,"Census Tract 145, Bronx County, New York"," Bronx County",7360,0.62116250511666,0.21694637740483,0.128325828898895
36005014701,"Census Tract 147.01, Bronx County, New York"," Bronx County",7023,0.649323422908329,0.215361158757385,0.0842386125404993
36005014702,"Census Tract 147.02, Bronx County, New York"," Bronx County",5243,0.579622641509434,0.295849056603774,0.0636477987421384
36005014900,"Census Tract 149, Bronx County, New York"," Bronx County",4348,0.522135007849294,0.286656200941915,0.14850863422292
36005015100,"Census Tract 151, Bronx County, New York"," Bronx County",5458,0.458660948296402,0.440552775792233,0.0593280914939242
36005015200,"Census Tract 152, Bronx County, New York"," Bronx County",2803,0.351031154014919,0.495831505046073,0.0864414216761738
36005015300,"Census Tract 153, Bronx County, New York"," Bronx County",4466,0.460043196544276,0.429188522061092,0.0583153347732181
36005015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,0.452933727311102,0.370620514985226,0.124102997045167
36005015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,0.578120088022634,0.313423451744734,0.0613014775227916
36005015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,0.41544885177453,0.462421711899791,0.0553235908141962
36005015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,0.552373158756137,0.272504091653028,0.118657937806874
36005016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,0.250073986386505,0.538324948209529,0.155371411660255
36005016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,0.485057471264368,0.338916256157635,0.09688013136289
36005016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,0.357320099255583,0.42741935483871,0.0992555831265509
36005016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,NA,NA,NA
36005016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,0.257534246575342,0.586301369863014,0.0712328767123288
36005016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,0.580434782608696,0.292391304347826,0.0891304347826087
36005016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,0.413249211356467,0.407991587802313,0.0678233438485804
