"BoroCT2010","census_tract","borough","total_population","data"
365015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,3178
365015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,4054
365015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,1202
365015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,1420
365016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,4274
365016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,4140
365016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,1969
365016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,0
365016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,885
365016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,1189
365016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,2252
365016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,2733
365016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,1338
365017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,0
365017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,6301
365017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,7004
365017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,4946
365017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,5388
365017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,4661
365017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,3600
365018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,2921
365018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,5626
365018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,4202
365018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,4078
365018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,3676
365018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,6885
365018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,8304
365019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,5737
365019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,2231
365019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,7622
365019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,7104
365019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,8015
365020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,4722
365020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,4340
365020200,"Census Tract 202, Bronx County, New York"," Bronx County",2232,2232
365020400,"Census Tract 204, Bronx County, New York"," Bronx County",3131,3131
365020501,"Census Tract 205.01, Bronx County, New York"," Bronx County",7030,7030
365020502,"Census Tract 205.02, Bronx County, New York"," Bronx County",2123,2123
365020601,"Census Tract 206.01, Bronx County, New York"," Bronx County",2724,2724
365020900,"Census Tract 209, Bronx County, New York"," Bronx County",4351,4351
365021001,"Census Tract 210.01, Bronx County, New York"," Bronx County",9254,9254
365021002,"Census Tract 210.02, Bronx County, New York"," Bronx County",6416,6416
365021100,"Census Tract 211, Bronx County, New York"," Bronx County",5506,5506
365021200,"Census Tract 212, Bronx County, New York"," Bronx County",5257,5257
365021301,"Census Tract 213.01, Bronx County, New York"," Bronx County",1194,1194
365021302,"Census Tract 213.02, Bronx County, New York"," Bronx County",6061,6061
365021501,"Census Tract 215.01, Bronx County, New York"," Bronx County",4726,4726
365021502,"Census Tract 215.02, Bronx County, New York"," Bronx County",6013,6013
365021601,"Census Tract 216.01, Bronx County, New York"," Bronx County",4137,4137
365021602,"Census Tract 216.02, Bronx County, New York"," Bronx County",6243,6243
365021700,"Census Tract 217, Bronx County, New York"," Bronx County",5000,5000
365021800,"Census Tract 218, Bronx County, New York"," Bronx County",6882,6882
365021900,"Census Tract 219, Bronx County, New York"," Bronx County",1277,1277
365022000,"Census Tract 220, Bronx County, New York"," Bronx County",2176,2176
365022101,"Census Tract 221.01, Bronx County, New York"," Bronx County",3884,3884
365022102,"Census Tract 221.02, Bronx County, New York"," Bronx County",5010,5010
365022200,"Census Tract 222, Bronx County, New York"," Bronx County",3414,3414
365022300,"Census Tract 223, Bronx County, New York"," Bronx County",5108,5108
365022401,"Census Tract 224.01, Bronx County, New York"," Bronx County",2652,2652
365022403,"Census Tract 224.03, Bronx County, New York"," Bronx County",3502,3502
365022404,"Census Tract 224.04, Bronx County, New York"," Bronx County",4187,4187
