"BoroCT2010","census_tract","borough","total_population","data"
3681007700,"Census Tract 77, Queens County, New York"," Queens County",1446,1446
3681007900,"Census Tract 79, Queens County, New York"," Queens County",3425,3425
3681008100,"Census Tract 81, Queens County, New York"," Queens County",1213,1213
3681008300,"Census Tract 83, Queens County, New York"," Queens County",3527,3527
3681008500,"Census Tract 85, Queens County, New York"," Queens County",1138,1138
3681008600,"Census Tract 86, Queens County, New York"," Queens County",2849,2849
3681008700,"Census Tract 87, Queens County, New York"," Queens County",5107,5107
3681008800,"Census Tract 88, Queens County, New York"," Queens County",3928,3928
3681009100,"Census Tract 91, Queens County, New York"," Queens County",2863,2863
3681009400,"Census Tract 94, Queens County, New York"," Queens County",2962,2962
3681009500,"Census Tract 95, Queens County, New York"," Queens County",2755,2755
3681009600,"Census Tract 96, Queens County, New York"," Queens County",4079,4079
3681009700,"Census Tract 97, Queens County, New York"," Queens County",3410,3410
3681009800,"Census Tract 98, Queens County, New York"," Queens County",2818,2818
3681009900,"Census Tract 99, Queens County, New York"," Queens County",0,0
3681010000,"Census Tract 100, Queens County, New York"," Queens County",3833,3833
3681010100,"Census Tract 101, Queens County, New York"," Queens County",2501,2501
3681010200,"Census Tract 102, Queens County, New York"," Queens County",3164,3164
3681010300,"Census Tract 103, Queens County, New York"," Queens County",3812,3812
3681010400,"Census Tract 104, Queens County, New York"," Queens County",3442,3442
3681010500,"Census Tract 105, Queens County, New York"," Queens County",4115,4115
3681010600,"Census Tract 106, Queens County, New York"," Queens County",3741,3741
3681010701,"Census Tract 107.01, Queens County, New York"," Queens County",0,0
3681010800,"Census Tract 108, Queens County, New York"," Queens County",3530,3530
3681011000,"Census Tract 110, Queens County, New York"," Queens County",3586,3586
3681011100,"Census Tract 111, Queens County, New York"," Queens County",3440,3440
3681011200,"Census Tract 112, Queens County, New York"," Queens County",2168,2168
3681011300,"Census Tract 113, Queens County, New York"," Queens County",4229,4229
3681011400,"Census Tract 114, Queens County, New York"," Queens County",1050,1050
3681011500,"Census Tract 115, Queens County, New York"," Queens County",2356,2356
3681011600,"Census Tract 116, Queens County, New York"," Queens County",2309,2309
3681011700,"Census Tract 117, Queens County, New York"," Queens County",3706,3706
3681011800,"Census Tract 118, Queens County, New York"," Queens County",2766,2766
3681011900,"Census Tract 119, Queens County, New York"," Queens County",1674,1674
3681012000,"Census Tract 120, Queens County, New York"," Queens County",2467,2467
3681012100,"Census Tract 121, Queens County, New York"," Queens County",2247,2247
3681012200,"Census Tract 122, Queens County, New York"," Queens County",3632,3632
3681012301,"Census Tract 123.01, Queens County, New York"," Queens County",2670,2670
3681012400,"Census Tract 124, Queens County, New York"," Queens County",3118,3118
3681012500,"Census Tract 125, Queens County, New York"," Queens County",1829,1829
3681012601,"Census Tract 126.01, Queens County, New York"," Queens County",2728,2728
3681012602,"Census Tract 126.02, Queens County, New York"," Queens County",2666,2666
3681012800,"Census Tract 128, Queens County, New York"," Queens County",2245,2245
3681013000,"Census Tract 130, Queens County, New York"," Queens County",1645,1645
3681013200,"Census Tract 132, Queens County, New York"," Queens County",2329,2329
3681013400,"Census Tract 134, Queens County, New York"," Queens County",5920,5920
3681013500,"Census Tract 135, Queens County, New York"," Queens County",1696,1696
3681013600,"Census Tract 136, Queens County, New York"," Queens County",2063,2063
3681013700,"Census Tract 137, Queens County, New York"," Queens County",1789,1789
3681013800,"Census Tract 138, Queens County, New York"," Queens County",3600,3600
3681014000,"Census Tract 140, Queens County, New York"," Queens County",3733,3733
3681014100,"Census Tract 141, Queens County, New York"," Queens County",1729,1729
3681014201,"Census Tract 142.01, Queens County, New York"," Queens County",4452,4452
3681014202,"Census Tract 142.02, Queens County, New York"," Queens County",2749,2749
3681014300,"Census Tract 143, Queens County, New York"," Queens County",4057,4057
3681014400,"Census Tract 144, Queens County, New York"," Queens County",2033,2033
3681014500,"Census Tract 145, Queens County, New York"," Queens County",2313,2313
3681014700,"Census Tract 147, Queens County, New York"," Queens County",3367,3367
3681014800,"Census Tract 148, Queens County, New York"," Queens County",2200,2200
3681014900,"Census Tract 149, Queens County, New York"," Queens County",2430,2430
3681015000,"Census Tract 150, Queens County, New York"," Queens County",2895,2895
3681015100,"Census Tract 151, Queens County, New York"," Queens County",2717,2717
3681015200,"Census Tract 152, Queens County, New York"," Queens County",2808,2808
3681015300,"Census Tract 153, Queens County, New York"," Queens County",2159,2159
3681015400,"Census Tract 154, Queens County, New York"," Queens County",2524,2524
3681015500,"Census Tract 155, Queens County, New York"," Queens County",2336,2336
3681015600,"Census Tract 156, Queens County, New York"," Queens County",3104,3104
3681015700,"Census Tract 157, Queens County, New York"," Queens County",1457,1457
3681015801,"Census Tract 158.01, Queens County, New York"," Queens County",3564,3564
3681015802,"Census Tract 158.02, Queens County, New York"," Queens County",4679,4679
3681015900,"Census Tract 159, Queens County, New York"," Queens County",3964,3964
3681016100,"Census Tract 161, Queens County, New York"," Queens County",2606,2606
3681016300,"Census Tract 163, Queens County, New York"," Queens County",3788,3788
3681016400,"Census Tract 164, Queens County, New York"," Queens County",3691,3691
3681016600,"Census Tract 166, Queens County, New York"," Queens County",3409,3409
3681016800,"Census Tract 168, Queens County, New York"," Queens County",3413,3413
3681016900,"Census Tract 169, Queens County, New York"," Queens County",5561,5561
3681017000,"Census Tract 170, Queens County, New York"," Queens County",2339,2339
3681017100,"Census Tract 171, Queens County, New York"," Queens County",0,0
3681017200,"Census Tract 172, Queens County, New York"," Queens County",2355,2355
3681017400,"Census Tract 174, Queens County, New York"," Queens County",2867,2867
3681017600,"Census Tract 176, Queens County, New York"," Queens County",2498,2498
3681017800,"Census Tract 178, Queens County, New York"," Queens County",2242,2242
3681017900,"Census Tract 179, Queens County, New York"," Queens County",994,994
3681018000,"Census Tract 180, Queens County, New York"," Queens County",1456,1456
3681018101,"Census Tract 181.01, Queens County, New York"," Queens County",4293,4293
3681018102,"Census Tract 181.02, Queens County, New York"," Queens County",3755,3755
3681018200,"Census Tract 182, Queens County, New York"," Queens County",2416,2416
3681018300,"Census Tract 183, Queens County, New York"," Queens County",6322,6322
3681018401,"Census Tract 184.01, Queens County, New York"," Queens County",2272,2272
3681018402,"Census Tract 184.02, Queens County, New York"," Queens County",2342,2342
3681018501,"Census Tract 185.01, Queens County, New York"," Queens County",3685,3685
3681018502,"Census Tract 185.02, Queens County, New York"," Queens County",3557,3557
3681018600,"Census Tract 186, Queens County, New York"," Queens County",1908,1908
3681018700,"Census Tract 187, Queens County, New York"," Queens County",3074,3074
3681018800,"Census Tract 188, Queens County, New York"," Queens County",1476,1476
3681018900,"Census Tract 189, Queens County, New York"," Queens County",3470,3470
3681019000,"Census Tract 190, Queens County, New York"," Queens County",2291,2291
3681019200,"Census Tract 192, Queens County, New York"," Queens County",2009,2009
3681019400,"Census Tract 194, Queens County, New York"," Queens County",2508,2508
3681019600,"Census Tract 196, Queens County, New York"," Queens County",2756,2756
3681019800,"Census Tract 198, Queens County, New York"," Queens County",2981,2981
3681019900,"Census Tract 199, Queens County, New York"," Queens County",1074,1074
3681020200,"Census Tract 202, Queens County, New York"," Queens County",1693,1693
3681020400,"Census Tract 204, Queens County, New York"," Queens County",2195,2195
3681020500,"Census Tract 205, Queens County, New York"," Queens County",994,994
3681020600,"Census Tract 206, Queens County, New York"," Queens County",1855,1855
3681020800,"Census Tract 208, Queens County, New York"," Queens County",2554,2554
3681021200,"Census Tract 212, Queens County, New York"," Queens County",2362,2362
3681021400,"Census Tract 214, Queens County, New York"," Queens County",6415,6415
3681021600,"Census Tract 216, Queens County, New York"," Queens County",4373,4373
3681021900,"Census Tract 219, Queens County, New York"," Queens County",4,4
3681022001,"Census Tract 220.01, Queens County, New York"," Queens County",5889,5889
3681022002,"Census Tract 220.02, Queens County, New York"," Queens County",6421,6421
3681022900,"Census Tract 229, Queens County, New York"," Queens County",0,0
3681023000,"Census Tract 230, Queens County, New York"," Queens County",2430,2430
3681023200,"Census Tract 232, Queens County, New York"," Queens County",5619,5619
3681023500,"Census Tract 235, Queens County, New York"," Queens County",8855,8855
3681023600,"Census Tract 236, Queens County, New York"," Queens County",2707,2707
3681023800,"Census Tract 238, Queens County, New York"," Queens County",4705,4705
3681024000,"Census Tract 240, Queens County, New York"," Queens County",6087,6087
3681024300,"Census Tract 243, Queens County, New York"," Queens County",6119,6119
3681024500,"Census Tract 245, Queens County, New York"," Queens County",6158,6158
3681024600,"Census Tract 246, Queens County, New York"," Queens County",0,0
3681024700,"Census Tract 247, Queens County, New York"," Queens County",1574,1574
3681024900,"Census Tract 249, Queens County, New York"," Queens County",5099,5099
3681025100,"Census Tract 251, Queens County, New York"," Queens County",5909,5909
3681025301,"Census Tract 253.01, Queens County, New York"," Queens County",3967,3967
3681025302,"Census Tract 253.02, Queens County, New York"," Queens County",2881,2881
3681025400,"Census Tract 254, Queens County, New York"," Queens County",9094,9094
3681025500,"Census Tract 255, Queens County, New York"," Queens County",1423,1423
3681025700,"Census Tract 257, Queens County, New York"," Queens County",1327,1327
3681025800,"Census Tract 258, Queens County, New York"," Queens County",2048,2048
3681025900,"Census Tract 259, Queens County, New York"," Queens County",3353,3353
3681026000,"Census Tract 260, Queens County, New York"," Queens County",2818,2818
3681026100,"Census Tract 261, Queens County, New York"," Queens County",7098,7098
3681026200,"Census Tract 262, Queens County, New York"," Queens County",1208,1208
3681026300,"Census Tract 263, Queens County, New York"," Queens County",7124,7124
3681026400,"Census Tract 264, Queens County, New York"," Queens County",2365,2365
3681026500,"Census Tract 265, Queens County, New York"," Queens County",4127,4127
3681026600,"Census Tract 266, Queens County, New York"," Queens County",1933,1933
3681026700,"Census Tract 267, Queens County, New York"," Queens County",6563,6563
3681026901,"Census Tract 269.01, Queens County, New York"," Queens County",5089,5089
3681026902,"Census Tract 269.02, Queens County, New York"," Queens County",4557,4557
3681027000,"Census Tract 270, Queens County, New York"," Queens County",2080,2080
3681027100,"Census Tract 271, Queens County, New York"," Queens County",8512,8512
3681027200,"Census Tract 272, Queens County, New York"," Queens County",2432,2432
3681027300,"Census Tract 273, Queens County, New York"," Queens County",8196,8196
3681027400,"Census Tract 274, Queens County, New York"," Queens County",1781,1781
3681027500,"Census Tract 275, Queens County, New York"," Queens County",7489,7489
3681027600,"Census Tract 276, Queens County, New York"," Queens County",1262,1262
3681027700,"Census Tract 277, Queens County, New York"," Queens County",7638,7638
3681027800,"Census Tract 278, Queens County, New York"," Queens County",2437,2437
3681027900,"Census Tract 279, Queens County, New York"," Queens County",6233,6233
3681028000,"Census Tract 280, Queens County, New York"," Queens County",1775,1775
3681028100,"Census Tract 281, Queens County, New York"," Queens County",4435,4435
3681028200,"Census Tract 282, Queens County, New York"," Queens County",1703,1703
3681028300,"Census Tract 283, Queens County, New York"," Queens County",7318,7318
3681028400,"Census Tract 284, Queens County, New York"," Queens County",4367,4367
3681028500,"Census Tract 285, Queens County, New York"," Queens County",5120,5120
3681028700,"Census Tract 287, Queens County, New York"," Queens County",6423,6423
3681028800,"Census Tract 288, Queens County, New York"," Queens County",4693,4693
3681028900,"Census Tract 289, Queens County, New York"," Queens County",5574,5574
3681029100,"Census Tract 291, Queens County, New York"," Queens County",6605,6605
3681029300,"Census Tract 293, Queens County, New York"," Queens County",1217,1217
3681029400,"Census Tract 294, Queens County, New York"," Queens County",6827,6827
3681029500,"Census Tract 295, Queens County, New York"," Queens County",3722,3722
3681029700,"Census Tract 297, Queens County, New York"," Queens County",2128,2128
3681029900,"Census Tract 299, Queens County, New York"," Queens County",0,0
3681030600,"Census Tract 306, Queens County, New York"," Queens County",4058,4058
3681030902,"Census Tract 309.02, Queens County, New York"," Queens County",7894,7894
3681030903,"Census Tract 309.03, Queens County, New York"," Queens County",6441,6441
3681030904,"Census Tract 309.04, Queens County, New York"," Queens County",3847,3847
3681031700,"Census Tract 317, Queens County, New York"," Queens County",6451,6451
3681032000,"Census Tract 320, Queens County, New York"," Queens County",5330,5330
3681032700,"Census Tract 327, Queens County, New York"," Queens County",4112,4112
3681032800,"Census Tract 328, Queens County, New York"," Queens County",2376,2376
3681032900,"Census Tract 329, Queens County, New York"," Queens County",4071,4071
3681033000,"Census Tract 330, Queens County, New York"," Queens County",7115,7115
3681033100,"Census Tract 331, Queens County, New York"," Queens County",0,0
3681033401,"Census Tract 334.01, Queens County, New York"," Queens County",3516,3516
3681033402,"Census Tract 334.02, Queens County, New York"," Queens County",13061,13061
3681033700,"Census Tract 337, Queens County, New York"," Queens County",3555,3555
3681033900,"Census Tract 339, Queens County, New York"," Queens County",3374,3374
3681034700,"Census Tract 347, Queens County, New York"," Queens County",3394,3394
3681035100,"Census Tract 351, Queens County, New York"," Queens County",4215,4215
3681035200,"Census Tract 352, Queens County, New York"," Queens County",3044,3044
3681035300,"Census Tract 353, Queens County, New York"," Queens County",2451,2451
3681035700,"Census Tract 357, Queens County, New York"," Queens County",4204,4204
3681035800,"Census Tract 358, Queens County, New York"," Queens County",4094,4094
3681036100,"Census Tract 361, Queens County, New York"," Queens County",2956,2956
3681036300,"Census Tract 363, Queens County, New York"," Queens County",2105,2105
3681036500,"Census Tract 365, Queens County, New York"," Queens County",3822,3822
3681036600,"Census Tract 366, Queens County, New York"," Queens County",3041,3041
3681036700,"Census Tract 367, Queens County, New York"," Queens County",2644,2644
3681036800,"Census Tract 368, Queens County, New York"," Queens County",2446,2446
3681037100,"Census Tract 371, Queens County, New York"," Queens County",1789,1789
3681037300,"Census Tract 373, Queens County, New York"," Queens County",2500,2500
3681037500,"Census Tract 375, Queens County, New York"," Queens County",3946,3946
3681037600,"Census Tract 376, Queens County, New York"," Queens County",5979,5979
3681037700,"Census Tract 377, Queens County, New York"," Queens County",3717,3717
3681037900,"Census Tract 379, Queens County, New York"," Queens County",7287,7287
3681038100,"Census Tract 381, Queens County, New York"," Queens County",7798,7798
3681038301,"Census Tract 383.01, Queens County, New York"," Queens County",0,0
3681038302,"Census Tract 383.02, Queens County, New York"," Queens County",0,0
3681038400,"Census Tract 384, Queens County, New York"," Queens County",2420,2420
3681039400,"Census Tract 394, Queens County, New York"," Queens County",3010,3010
3681039800,"Census Tract 398, Queens County, New York"," Queens County",1731,1731
3681039900,"Census Tract 399, Queens County, New York"," Queens County",4181,4181
3681040000,"Census Tract 400, Queens County, New York"," Queens County",1476,1476
3681040100,"Census Tract 401, Queens County, New York"," Queens County",8193,8193
3681040200,"Census Tract 402, Queens County, New York"," Queens County",1617,1617
3681040300,"Census Tract 403, Queens County, New York"," Queens County",7310,7310
3681040400,"Census Tract 404, Queens County, New York"," Queens County",4316,4316
3681040500,"Census Tract 405, Queens County, New York"," Queens County",3339,3339
3681040700,"Census Tract 407, Queens County, New York"," Queens County",7632,7632
3681040900,"Census Tract 409, Queens County, New York"," Queens County",6017,6017
3681041100,"Census Tract 411, Queens County, New York"," Queens County",3873,3873
3681041300,"Census Tract 413, Queens County, New York"," Queens County",4822,4822
3681041400,"Census Tract 414, Queens County, New York"," Queens County",3677,3677
3681041500,"Census Tract 415, Queens County, New York"," Queens County",3687,3687
3681042400,"Census Tract 424, Queens County, New York"," Queens County",2612,2612
3681042600,"Census Tract 426, Queens County, New York"," Queens County",512,512
3681042700,"Census Tract 427, Queens County, New York"," Queens County",5242,5242
3681043200,"Census Tract 432, Queens County, New York"," Queens County",1507,1507
3681043400,"Census Tract 434, Queens County, New York"," Queens County",1708,1708
3681043701,"Census Tract 437.01, Queens County, New York"," Queens County",3780,3780
3681043702,"Census Tract 437.02, Queens County, New York"," Queens County",6213,6213
3681043900,"Census Tract 439, Queens County, New York"," Queens County",4537,4537
3681044000,"Census Tract 440, Queens County, New York"," Queens County",3821,3821
3681044301,"Census Tract 443.01, Queens County, New York"," Queens County",3535,3535
3681044302,"Census Tract 443.02, Queens County, New York"," Queens County",4748,4748
3681044400,"Census Tract 444, Queens County, New York"," Queens County",3024,3024
3681044601,"Census Tract 446.01, Queens County, New York"," Queens County",3119,3119
3681044602,"Census Tract 446.02, Queens County, New York"," Queens County",5082,5082
3681044800,"Census Tract 448, Queens County, New York"," Queens County",2677,2677
3681045000,"Census Tract 450, Queens County, New York"," Queens County",1902,1902
3681045200,"Census Tract 452, Queens County, New York"," Queens County",1009,1009
3681045400,"Census Tract 454, Queens County, New York"," Queens County",4298,4298
3681045500,"Census Tract 455, Queens County, New York"," Queens County",13003,13003
3681045600,"Census Tract 456, Queens County, New York"," Queens County",1400,1400
3681045700,"Census Tract 457, Queens County, New York"," Queens County",2992,2992
3681045800,"Census Tract 458, Queens County, New York"," Queens County",2098,2098
3681045900,"Census Tract 459, Queens County, New York"," Queens County",3923,3923
3681046000,"Census Tract 460, Queens County, New York"," Queens County",5817,5817
3681046100,"Census Tract 461, Queens County, New York"," Queens County",2988,2988
3681046200,"Census Tract 462, Queens County, New York"," Queens County",8760,8760
3681046300,"Census Tract 463, Queens County, New York"," Queens County",3985,3985
3681046400,"Census Tract 464, Queens County, New York"," Queens County",1734,1734
3681046500,"Census Tract 465, Queens County, New York"," Queens County",3680,3680
3681046600,"Census Tract 466, Queens County, New York"," Queens County",3521,3521
3681046700,"Census Tract 467, Queens County, New York"," Queens County",6815,6815
3681046800,"Census Tract 468, Queens County, New York"," Queens County",3171,3171
3681046900,"Census Tract 469, Queens County, New York"," Queens County",8205,8205
3681047000,"Census Tract 470, Queens County, New York"," Queens County",3322,3322
3681047100,"Census Tract 471, Queens County, New York"," Queens County",4218,4218
3681047200,"Census Tract 472, Queens County, New York"," Queens County",4027,4027
3681047300,"Census Tract 473, Queens County, New York"," Queens County",3710,3710
3681047500,"Census Tract 475, Queens County, New York"," Queens County",4570,4570
3681047600,"Census Tract 476, Queens County, New York"," Queens County",1459,1459
3681047800,"Census Tract 478, Queens County, New York"," Queens County",5500,5500
3681047900,"Census Tract 479, Queens County, New York"," Queens County",5357,5357
3681048000,"Census Tract 480, Queens County, New York"," Queens County",2932,2932
3681048100,"Census Tract 481, Queens County, New York"," Queens County",6527,6527
3681048200,"Census Tract 482, Queens County, New York"," Queens County",1556,1556
3681048300,"Census Tract 483, Queens County, New York"," Queens County",4212,4212
3681048400,"Census Tract 484, Queens County, New York"," Queens County",4977,4977
3681048500,"Census Tract 485, Queens County, New York"," Queens County",4639,4639
3681048900,"Census Tract 489, Queens County, New York"," Queens County",1651,1651
3681049200,"Census Tract 492, Queens County, New York"," Queens County",4387,4387
3681049301,"Census Tract 493.01, Queens County, New York"," Queens County",1933,1933
3681049302,"Census Tract 493.02, Queens County, New York"," Queens County",2376,2376
3681049500,"Census Tract 495, Queens County, New York"," Queens County",1283,1283
3681049600,"Census Tract 496, Queens County, New York"," Queens County",3110,3110
3681049700,"Census Tract 497, Queens County, New York"," Queens County",2675,2675
3681049900,"Census Tract 499, Queens County, New York"," Queens County",4980,4980
3681050000,"Census Tract 500, Queens County, New York"," Queens County",4444,4444
3681050201,"Census Tract 502.01, Queens County, New York"," Queens County",1427,1427
3681050202,"Census Tract 502.02, Queens County, New York"," Queens County",1357,1357
3681050400,"Census Tract 504, Queens County, New York"," Queens County",2018,2018
3681050500,"Census Tract 505, Queens County, New York"," Queens County",1456,1456
3681050600,"Census Tract 506, Queens County, New York"," Queens County",1686,1686
3681050700,"Census Tract 507, Queens County, New York"," Queens County",3580,3580
3681050800,"Census Tract 508, Queens County, New York"," Queens County",2072,2072
3681051000,"Census Tract 510, Queens County, New York"," Queens County",2096,2096
3681051100,"Census Tract 511, Queens County, New York"," Queens County",1961,1961
3681051200,"Census Tract 512, Queens County, New York"," Queens County",2925,2925
3681051300,"Census Tract 513, Queens County, New York"," Queens County",2023,2023
3681051500,"Census Tract 515, Queens County, New York"," Queens County",2693,2693
3681051600,"Census Tract 516, Queens County, New York"," Queens County",1866,1866
3681051700,"Census Tract 517, Queens County, New York"," Queens County",1777,1777
3681051800,"Census Tract 518, Queens County, New York"," Queens County",2441,2441
3681052000,"Census Tract 520, Queens County, New York"," Queens County",1640,1640
3681052100,"Census Tract 521, Queens County, New York"," Queens County",1744,1744
3681052200,"Census Tract 522, Queens County, New York"," Queens County",1854,1854
3681052400,"Census Tract 524, Queens County, New York"," Queens County",1626,1626
3681052500,"Census Tract 525, Queens County, New York"," Queens County",1840,1840
3681052600,"Census Tract 526, Queens County, New York"," Queens County",1980,1980
3681052800,"Census Tract 528, Queens County, New York"," Queens County",1509,1509
3681053000,"Census Tract 530, Queens County, New York"," Queens County",2311,2311
3681053100,"Census Tract 531, Queens County, New York"," Queens County",2785,2785
3681053200,"Census Tract 532, Queens County, New York"," Queens County",1699,1699
3681053401,"Census Tract 534.01, Queens County, New York"," Queens County",2016,2016
3681053500,"Census Tract 535, Queens County, New York"," Queens County",1328,1328
3681053601,"Census Tract 536.01, Queens County, New York"," Queens County",1759,1759
3681053800,"Census Tract 538, Queens County, New York"," Queens County",1720,1720
3681053900,"Census Tract 539, Queens County, New York"," Queens County",4338,4338
3681054000,"Census Tract 540, Queens County, New York"," Queens County",4354,4354
3681054200,"Census Tract 542, Queens County, New York"," Queens County",5482,5482
3681054500,"Census Tract 545, Queens County, New York"," Queens County",3813,3813
3681054700,"Census Tract 547, Queens County, New York"," Queens County",5382,5382
3681054800,"Census Tract 548, Queens County, New York"," Queens County",2316,2316
3681054900,"Census Tract 549, Queens County, New York"," Queens County",5503,5503
3681055100,"Census Tract 551, Queens County, New York"," Queens County",4932,4932
3681055200,"Census Tract 552, Queens County, New York"," Queens County",3006,3006
3681055300,"Census Tract 553, Queens County, New York"," Queens County",2436,2436
3681055400,"Census Tract 554, Queens County, New York"," Queens County",2344,2344
3681055500,"Census Tract 555, Queens County, New York"," Queens County",2348,2348
3681055600,"Census Tract 556, Queens County, New York"," Queens County",2453,2453
3681055700,"Census Tract 557, Queens County, New York"," Queens County",3781,3781
3681055800,"Census Tract 558, Queens County, New York"," Queens County",1763,1763
3681055900,"Census Tract 559, Queens County, New York"," Queens County",1401,1401
3681056000,"Census Tract 560, Queens County, New York"," Queens County",1651,1651
3681056100,"Census Tract 561, Queens County, New York"," Queens County",120,120
3681056200,"Census Tract 562, Queens County, New York"," Queens County",1655,1655
3681056400,"Census Tract 564, Queens County, New York"," Queens County",1582,1582
3681056500,"Census Tract 565, Queens County, New York"," Queens County",1380,1380
3681056600,"Census Tract 566, Queens County, New York"," Queens County",1703,1703
3681056700,"Census Tract 567, Queens County, New York"," Queens County",4231,4231
3681056800,"Census Tract 568, Queens County, New York"," Queens County",4439,4439
3681057700,"Census Tract 577, Queens County, New York"," Queens County",3797,3797
3681057900,"Census Tract 579, Queens County, New York"," Queens County",1610,1610
3681058000,"Census Tract 580, Queens County, New York"," Queens County",3565,3565
3681058100,"Census Tract 581, Queens County, New York"," Queens County",2875,2875
3681058200,"Census Tract 582, Queens County, New York"," Queens County",5054,5054
3681058300,"Census Tract 583, Queens County, New York"," Queens County",3327,3327
3681058500,"Census Tract 585, Queens County, New York"," Queens County",4476,4476
3681058700,"Census Tract 587, Queens County, New York"," Queens County",3421,3421
3681058900,"Census Tract 589, Queens County, New York"," Queens County",4165,4165
3681059000,"Census Tract 590, Queens County, New York"," Queens County",1428,1428
3681059100,"Census Tract 591, Queens County, New York"," Queens County",5210,5210
3681059200,"Census Tract 592, Queens County, New York"," Queens County",1128,1128
3681059300,"Census Tract 593, Queens County, New York"," Queens County",4192,4192
3681059400,"Census Tract 594, Queens County, New York"," Queens County",1553,1553
3681059500,"Census Tract 595, Queens County, New York"," Queens County",4435,4435
3681059600,"Census Tract 596, Queens County, New York"," Queens County",1465,1465
3681059800,"Census Tract 598, Queens County, New York"," Queens County",1727,1727
3681059900,"Census Tract 599, Queens County, New York"," Queens County",1376,1376
3681060000,"Census Tract 600, Queens County, New York"," Queens County",1086,1086
3681060100,"Census Tract 601, Queens County, New York"," Queens County",1955,1955
3681060300,"Census Tract 603, Queens County, New York"," Queens County",2006,2006
3681060600,"Census Tract 606, Queens County, New York"," Queens County",1393,1393
3681060701,"Census Tract 607.01, Queens County, New York"," Queens County",16,16
3681060800,"Census Tract 608, Queens County, New York"," Queens County",1662,1662
3681061000,"Census Tract 610, Queens County, New York"," Queens County",1556,1556
3681061200,"Census Tract 612, Queens County, New York"," Queens County",1528,1528
3681061301,"Census Tract 613.01, Queens County, New York"," Queens County",6281,6281
3681061302,"Census Tract 613.02, Queens County, New York"," Queens County",15,15
3681061400,"Census Tract 614, Queens County, New York"," Queens County",1321,1321
3681061601,"Census Tract 616.01, Queens County, New York"," Queens County",2384,2384
3681061602,"Census Tract 616.02, Queens County, New York"," Queens County",1275,1275
3681061800,"Census Tract 618, Queens County, New York"," Queens County",1876,1876
3681061900,"Census Tract 619, Queens County, New York"," Queens County",2738,2738
3681062000,"Census Tract 620, Queens County, New York"," Queens County",1518,1518
3681062100,"Census Tract 621, Queens County, New York"," Queens County",2589,2589
3681062200,"Census Tract 622, Queens County, New York"," Queens County",1653,1653
3681062300,"Census Tract 623, Queens County, New York"," Queens County",2049,2049
3681062400,"Census Tract 624, Queens County, New York"," Queens County",0,0
3681062500,"Census Tract 625, Queens County, New York"," Queens County",2586,2586
3681062600,"Census Tract 626, Queens County, New York"," Queens County",3096,3096
3681062700,"Census Tract 627, Queens County, New York"," Queens County",2917,2917
3681062900,"Census Tract 629, Queens County, New York"," Queens County",3086,3086
3681063000,"Census Tract 630, Queens County, New York"," Queens County",1865,1865
3681063200,"Census Tract 632, Queens County, New York"," Queens County",2459,2459
3681063301,"Census Tract 633.01, Queens County, New York"," Queens County",1450,1450
3681063302,"Census Tract 633.02, Queens County, New York"," Queens County",1490,1490
3681063500,"Census Tract 635, Queens County, New York"," Queens County",2636,2636
3681063700,"Census Tract 637, Queens County, New York"," Queens County",3199,3199
3681063800,"Census Tract 638, Queens County, New York"," Queens County",4113,4113
3681063900,"Census Tract 639, Queens County, New York"," Queens County",2551,2551
3681064101,"Census Tract 641.01, Queens County, New York"," Queens County",2038,2038
3681064102,"Census Tract 641.02, Queens County, New York"," Queens County",154,154
3681064500,"Census Tract 645, Queens County, New York"," Queens County",1948,1948
3681064600,"Census Tract 646, Queens County, New York"," Queens County",3121,3121
3681065000,"Census Tract 650, Queens County, New York"," Queens County",3070,3070
3681065400,"Census Tract 654, Queens County, New York"," Queens County",3128,3128
3681065501,"Census Tract 655.01, Queens County, New York"," Queens County",0,0
3681065600,"Census Tract 656, Queens County, New York"," Queens County",5230,5230
3681065702,"Census Tract 657.02, Queens County, New York"," Queens County",1761,1761
3681065703,"Census Tract 657.03, Queens County, New York"," Queens County",2783,2783
3681065900,"Census Tract 659, Queens County, New York"," Queens County",1765,1765
3681066000,"Census Tract 660, Queens County, New York"," Queens County",3674,3674
3681066100,"Census Tract 661, Queens County, New York"," Queens County",1469,1469
3681066300,"Census Tract 663, Queens County, New York"," Queens County",2463,2463
3681066400,"Census Tract 664, Queens County, New York"," Queens County",10018,10018
3681066501,"Census Tract 665.01, Queens County, New York"," Queens County",3400,3400
3681066701,"Census Tract 667.01, Queens County, New York"," Queens County",2280,2280
3681066900,"Census Tract 669, Queens County, New York"," Queens County",1602,1602
3681067100,"Census Tract 671, Queens County, New York"," Queens County",2129,2129
3681067700,"Census Tract 677, Queens County, New York"," Queens County",1826,1826
3681067900,"Census Tract 679, Queens County, New York"," Queens County",3772,3772
3681068000,"Census Tract 680, Queens County, New York"," Queens County",5064,5064
3681068200,"Census Tract 682, Queens County, New York"," Queens County",1278,1278
3681068300,"Census Tract 683, Queens County, New York"," Queens County",4499,4499
3681068700,"Census Tract 687, Queens County, New York"," Queens County",4703,4703
3681069000,"Census Tract 690, Queens County, New York"," Queens County",3460,3460
3681069300,"Census Tract 693, Queens County, New York"," Queens County",2864,2864
3681069400,"Census Tract 694, Queens County, New York"," Queens County",3687,3687
3681069500,"Census Tract 695, Queens County, New York"," Queens County",1773,1773
