"GEOID","census_tract","borough","total_population","non_family"
36005013300,"Census Tract 133, Bronx County, New York"," Bronx County",7284,0.273333333333333
36005013500,"Census Tract 135, Bronx County, New York"," Bronx County",3908,0.248826291079812
36005013800,"Census Tract 138, Bronx County, New York"," Bronx County",2989,0.419141914191419
36005014100,"Census Tract 141, Bronx County, New York"," Bronx County",5355,0.393672199170124
36005014300,"Census Tract 143, Bronx County, New York"," Bronx County",968,0.653846153846154
36005014400,"Census Tract 144, Bronx County, New York"," Bronx County",6049,0.405830633965757
36005014500,"Census Tract 145, Bronx County, New York"," Bronx County",7360,0.303611234953188
36005014701,"Census Tract 147.01, Bronx County, New York"," Bronx County",7023,0.259111333000499
36005014702,"Census Tract 147.02, Bronx County, New York"," Bronx County",5243,0.196296296296296
36005014900,"Census Tract 149, Bronx County, New York"," Bronx County",4348,0.401413427561837
36005015100,"Census Tract 151, Bronx County, New York"," Bronx County",5458,0.26435474701535
36005015200,"Census Tract 152, Bronx County, New York"," Bronx County",2803,0.187141216991963
36005015300,"Census Tract 153, Bronx County, New York"," Bronx County",4466,0.355298913043478
36005015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,0.254128440366972
36005015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,0.296353762606672
36005015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,0.280660377358491
36005015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,0.421216848673947
36005016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,0.322411533420708
36005016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,0.409480296973158
36005016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,0.214801444043321
36005016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,NA
36005016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,0.333333333333333
36005016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,0.223140495867769
36005016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,0.21832884097035
36005016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,0.236077481840194
36005016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,0.454746136865342
36005017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,NA
36005017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,0.41953488372093
36005017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,0.359706362153344
36005017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,0.21953188054883
36005017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,0.34480639213276
36005017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,0.330399061032864
36005017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,0.31149012567325
36005018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,0.332644628099174
36005018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,0.272054287476866
36005018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,0.498156924697209
36005018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,0.186900958466454
36005018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,0.305418719211823
36005018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,0.354653546535465
36005018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,0.414032650225773
36005019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,0.290615539858729
36005019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,0.314084507042254
36005019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,0.345746622855057
36005019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,0.30909922267947
36005019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,0.273134328358209
36005020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,0.283031522468142
36005020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,0.275439938791125
36005020200,"Census Tract 202, Bronx County, New York"," Bronx County",2232,0.445100354191263
36005020400,"Census Tract 204, Bronx County, New York"," Bronx County",3131,0.304178814382896
36005020501,"Census Tract 205.01, Bronx County, New York"," Bronx County",7030,0.346468401486989
36005020502,"Census Tract 205.02, Bronx County, New York"," Bronx County",2123,0.489702517162471
36005020601,"Census Tract 206.01, Bronx County, New York"," Bronx County",2724,0.310874704491726
36005020900,"Census Tract 209, Bronx County, New York"," Bronx County",4351,0.400130123617437
36005021001,"Census Tract 210.01, Bronx County, New York"," Bronx County",9254,0.47012987012987
36005021002,"Census Tract 210.02, Bronx County, New York"," Bronx County",6416,0.544728965746591
36005021100,"Census Tract 211, Bronx County, New York"," Bronx County",5506,0.288107202680067
36005021200,"Census Tract 212, Bronx County, New York"," Bronx County",5257,0.323515439429929
