"GEOID","census_tract","borough","total_population","disability"
36005013200,"Census Tract 132, Bronx County, New York"," Bronx County",7426,0.093724750875303
36005013300,"Census Tract 133, Bronx County, New York"," Bronx County",7284,0.154852030282175
36005013500,"Census Tract 135, Bronx County, New York"," Bronx County",3908,0.182702149437052
36005013800,"Census Tract 138, Bronx County, New York"," Bronx County",2989,0.14553362328538
36005014100,"Census Tract 141, Bronx County, New York"," Bronx County",5355,0.148335203890759
36005014300,"Census Tract 143, Bronx County, New York"," Bronx County",968,0.212809917355372
36005014400,"Census Tract 144, Bronx County, New York"," Bronx County",6049,0.151925938171599
36005014500,"Census Tract 145, Bronx County, New York"," Bronx County",7360,0.11915132780666
36005014701,"Census Tract 147.01, Bronx County, New York"," Bronx County",7023,0.189520148084864
36005014702,"Census Tract 147.02, Bronx County, New York"," Bronx County",5243,0.164791150104902
36005014900,"Census Tract 149, Bronx County, New York"," Bronx County",4348,0.122448979591837
36005015100,"Census Tract 151, Bronx County, New York"," Bronx County",5458,0.0939338235294118
36005015200,"Census Tract 152, Bronx County, New York"," Bronx County",2803,0.0870495897252943
36005015300,"Census Tract 153, Bronx County, New York"," Bronx County",4466,0.0902373488580385
36005015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,0.0931403398363751
36005015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,0.109274790330538
36005015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,0.0773710482529118
36005015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,0.165492957746479
36005016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,0.0884417407580721
36005016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,0.110386473429952
36005016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,0.0910643141718839
36005016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,NA
36005016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,0.144632768361582
36005016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,0.103448275862069
36005016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,0.149200710479574
36005016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,0.122941822173436
36005016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,0.165130568356375
36005017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,NA
36005017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,0.214535623409669
36005017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,0.151141093727573
36005017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,0.0935917198854878
36005017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,0.158756746696445
36005017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,0.163269684617035
36005017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,0.120277777777778
36005018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,0.131804176651832
36005018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,0.0979918185198959
36005018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,0.192765349833413
36005018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,0.0779794016674841
36005018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,0.150163220892274
36005018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,0.187063953488372
36005018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,0.188169425511198
36005019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,0.22572773226425
36005019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,0.147915732855222
36005019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,0.163211755444765
36005019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,0.123592342342342
