"GEOID","census_tract","borough","total_population","total","car_alone","car_pooled","public","walked"
36005000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,NA,NA,NA,NA,NA
36005000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,2277,0.447957839262187,0.137461572244181,0.385595081247255,0.0289855072463768
36005000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,2634,0.413059984813971,0.100227790432802,0.446469248291572,0.0144267274107821
36005001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,2100,0.372380952380952,0.0533333333333333,0.455238095238095,0.0857142857142857
36005001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,1027,0.191820837390458,0.0525803310613437,0.638753651411879,0.0301850048685492
36005002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,2484,0.195652173913043,0.070048309178744,0.681964573268921,0.0426731078904992
36005002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,1159,0.0586712683347714,0,0.745470232959448,0.139775668679896
36005002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,113,0,0,1,0
36005002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,1657,0.126131563065782,0.0277610138805069,0.625226312613156,0.176825588412794
36005002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,1058,0.139886578449905,0.0170132325141777,0.647448015122873,0.179584120982987
36005002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,1483,0.0512474713418746,0.0303438975050573,0.836142953472691,0.0708024275118004
36005002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,2341,0.427595044852627,0.0371636052968817,0.481845365228535,0.0200768902178556
36005003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,687,0.16448326055313,0,0.655021834061135,0.145560407569141
36005003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,1063,0.110065851364064,0.0460959548447789,0.683913452492945,0.134524929444967
36005003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,1333,0.195798949737434,0.0262565641410353,0.647411852963241,0.0742685671417855
36005003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,96,0.0833333333333333,0,0.791666666666667,0.125
36005003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,461,0.41648590021692,0.017353579175705,0.472885032537961,0.06941431670282
36005003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,2642,0.0336866010598032,0.0105980317940954,0.836109008327025,0.0651021953065859
36005004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,539,0.309833024118738,0.0296846011131725,0.628942486085343,0.0315398886827458
36005004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,1699,0.0665097115950559,0.00529723366686286,0.751030017657446,0.162448499117128
36005004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,1958,0.193564862104188,0.0265577119509704,0.688968335035751,0.0715015321756895
36005004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,1925,0.134025974025974,0.0264935064935065,0.663896103896104,0.125714285714286
36005004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,1330,0.158646616541353,0.056390977443609,0.72406015037594,0.024812030075188
36005004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,578,0.352941176470588,0.0830449826989619,0.470588235294118,0.0934256055363322
36005004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,1567,0.139757498404595,0.0497766432673899,0.710274409700064,0.0663688576898532
36005005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,1808,0.14712389380531,0.043141592920354,0.696349557522124,0.0801991150442478
36005005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,2607,0.0544687380130418,0.034138856923667,0.751054852320675,0.10433448408132
36005005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,1506,0.0239043824701195,0.0199203187250996,0.921646746347942,0.0245683930942895
36005005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,726,0.140495867768595,0.0371900826446281,0.539944903581267,0.119834710743802
36005005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,919,0.109902067464635,0.043525571273123,0.786724700761698,0.0359085963003264
36005005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,2487,0.149577804583836,0.0309609971853639,0.678729392842782,0.0558906312826699
36005005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,772,0.176165803108808,0.0738341968911917,0.650259067357513,0.0867875647668394
36005005902,"Census Tract 59.02, Bronx County, New York"," Bronx County",3131,1164,0.13573883161512,0.0257731958762887,0.664948453608247,0.0859106529209622
36005006000,"Census Tract 60, Bronx County, New York"," Bronx County",1256,513,0.259259259259259,0.0467836257309941,0.612085769980507,0.0350877192982456
36005006100,"Census Tract 61, Bronx County, New York"," Bronx County",3706,1505,0.269767441860465,0.0079734219269103,0.645182724252492,0.0770764119601329
36005006200,"Census Tract 62, Bronx County, New York"," Bronx County",7610,2628,0.175799086757991,0.00418569254185693,0.666666666666667,0.0517503805175038
36005006300,"Census Tract 63, Bronx County, New York"," Bronx County",4431,1989,0.128707893413776,0.00754147812971342,0.732528908999497,0.104072398190045
36005006400,"Census Tract 64, Bronx County, New York"," Bronx County",3590,1457,0.319835277968428,0.00823610157858614,0.638297872340426,0.00686341798215511
36005006500,"Census Tract 65, Bronx County, New York"," Bronx County",5487,2082,0.0326609029779059,0,0.735350624399616,0.181075888568684
36005006700,"Census Tract 67, Bronx County, New York"," Bronx County",7421,2401,0.0783007080383174,0.00791336942940441,0.629321116201583,0.178675551853394
